contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
AAPL260320P00320000,2025-02-17 05:05:03+00:00,320.0,75.45,,,0.0,0.0,,,0.0,True,REGULAR,USD,2026-03-20
AAPL260618P00005000,2025-02-06 18:00:01+00:00,5.0,0.01,0.0,0.07,0.0,0.0,2200.0,4377.0,1.21875390625,False,REGULAR,USD,2026-06-18
AAPL260618P00010000,2025-02-12 15:00:08+00:00,10.0,0.01,0.01,0.02,0.0,0.0,1.0,18.0,0.9062509375,False,REGULAR,USD,2026-06-18
AAPL260618P00020000,2025-01-03 16:01:54+00:00,20.0,0.06,0.0,0.0,0.0,0.0,50.0,62.0,0.500005,False,REGULAR,USD,2026-06-18
AAPL260618P00025000,2025-02-04 18:09:02+00:00,25.0,0.05,0.01,0.12,0.0,0.0,1.0,282.0,0.7304714453125,False,REGULAR,USD,2026-06-18
AAPL260618P00030000,2024-11-19 19:57:58+00:00,30.0,0.06,0.06,0.09,0.0,0.0,1.0,11.0,0.6816438085937502,False,REGULAR,USD,2026-06-18
AAPL260618P00035000,2025-01-17 19:29:20+00:00,35.0,0.1,0.09,0.16,0.0,0.0,1.0,9.0,0.6669955175781253,False,REGULAR,USD,2026-06-18
AAPL260618P00040000,2025-01-16 16:52:58+00:00,40.0,0.14,0.07,0.18,0.0,0.0,8.0,41.0,0.6210975390625001,False,REGULAR,USD,2026-06-18
AAPL260618P00045000,2025-01-13 17:25:09+00:00,45.0,0.18,0.11,0.21,0.0,0.0,10.0,279.0,0.5976602734375001,False,REGULAR,USD,2026-06-18
AAPL260618P00050000,2025-02-04 16:40:25+00:00,50.0,0.2,0.14,0.24,0.0,0.0,1.0,1354.0,0.5727581787109376,False,REGULAR,USD,2026-06-18
AAPL260618P00055000,2025-02-05 14:34:25+00:00,55.0,0.27,0.16,0.27,0.0,0.0,1.0,259.0,0.5468795312500001,False,REGULAR,USD,2026-06-18
AAPL260618P00060000,2025-01-31 15:01:39+00:00,60.0,0.25,0.17,0.3,0.0,0.0,10.0,49.0,0.5219774365234374,False,REGULAR,USD,2026-06-18
AAPL260618P00065000,2024-11-19 19:56:45+00:00,65.0,0.26,0.28,0.33,0.0,0.0,1.0,28.0,0.5102588037109376,False,REGULAR,USD,2026-06-18
AAPL260618P00070000,2024-11-19 19:56:57+00:00,70.0,0.3,0.33,0.37,0.0,0.0,1.0,26.0,0.4958546508789063,False,REGULAR,USD,2026-06-18
AAPL260618P00075000,2024-12-12 18:39:08+00:00,75.0,0.34,0.38,0.43,0.0,0.0,3.0,98.0,0.47998566894531247,False,REGULAR,USD,2026-06-18
AAPL260618P00080000,2025-01-31 18:17:41+00:00,80.0,0.39,0.37,0.46,0.0,0.0,1.0,556.0,0.4594780615234375,False,REGULAR,USD,2026-06-18
AAPL260618P00085000,2025-02-03 15:25:47+00:00,85.0,0.6,0.38,0.51,0.0,0.0,1.0,859.0,0.44287666503906253,False,REGULAR,USD,2026-06-18
AAPL260618P00090000,2025-02-03 16:43:44+00:00,90.0,0.64,0.43,0.57,0.0,0.0,3.0,612.0,0.42774009765625004,False,REGULAR,USD,2026-06-18
