contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
AAPL250815C00235000,2025-02-10 20:36:48+00:00,235.0,14.1,0.0,0.0,0.0,0.0,54.0,1397,0.007822421875,False,REGULAR,USD,2025-08-15
AAPL250815C00240000,2025-02-10 20:49:11+00:00,240.0,12.05,0.0,0.0,0.0,0.0,104.0,2921,0.015634843750000002,False,REGULAR,USD,2025-08-15
AAPL250815C00245000,2025-02-10 20:29:52+00:00,245.0,10.0,0.0,0.0,0.0,0.0,54.0,3589,0.0312596875,False,REGULAR,USD,2025-08-15
AAPL250815C00250000,2025-02-10 20:50:35+00:00,250.0,8.25,0.0,0.0,0.0,0.0,159.0,2947,0.0312596875,False,REGULAR,USD,2025-08-15
AAPL250815C00255000,2025-02-10 20:58:55+00:00,255.0,6.69,0.0,0.0,0.0,0.0,50.0,1352,0.0312596875,False,REGULAR,USD,2025-08-15
AAPL250815C00260000,2025-02-10 20:58:46+00:00,260.0,5.45,0.0,0.0,0.0,0.0,2122.0,8870,0.0312596875,False,REGULAR,USD,2025-08-15
AAPL250815C00265000,2025-02-10 20:59:48+00:00,265.0,4.35,0.0,0.0,0.0,0.0,21.0,2782,0.062509375,False,REGULAR,USD,2025-08-15
AAPL250815C00270000,2025-02-10 20:45:50+00:00,270.0,3.5,0.0,0.0,0.0,0.0,38.0,1688,0.062509375,False,REGULAR,USD,2025-08-15
AAPL250815C00275000,2025-02-10 20:57:58+00:00,275.0,2.78,0.0,0.0,0.0,0.0,70.0,1012,0.062509375,False,REGULAR,USD,2025-08-15
AAPL250815C00280000,2025-02-10 20:33:27+00:00,280.0,2.22,0.0,0.0,0.0,0.0,9.0,749,0.062509375,False,REGULAR,USD,2025-08-15
AAPL250815C00285000,2025-02-10 16:42:02+00:00,285.0,1.9,0.0,0.0,0.0,0.0,6.0,299,0.062509375,False,REGULAR,USD,2025-08-15
AAPL250815C00290000,2025-02-10 15:11:01+00:00,290.0,1.67,0.0,0.0,0.0,0.0,5.0,4616,0.062509375,False,REGULAR,USD,2025-08-15
AAPL250815C00295000,2025-02-10 14:35:57+00:00,295.0,1.36,0.0,0.0,0.0,0.0,1.0,1371,0.062509375,False,REGULAR,USD,2025-08-15
AAPL250815C00300000,2025-02-10 20:59:09+00:00,300.0,0.92,0.0,0.0,0.0,0.0,5.0,1540,0.062509375,False,REGULAR,USD,2025-08-15
AAPL250815C00305000,2025-02-10 20:13:38+00:00,305.0,0.74,0.0,0.0,0.0,0.0,31.0,232,0.062509375,False,REGULAR,USD,2025-08-15
AAPL250815C00310000,2025-02-07 15:45:13+00:00,310.0,0.72,0.0,0.0,0.0,0.0,30.0,939,0.062509375,False,REGULAR,USD,2025-08-15
AAPL250815C00315000,2025-02-10 15:15:19+00:00,315.0,0.58,0.0,0.0,0.0,0.0,20.0,59,0.12500875,False,REGULAR,USD,2025-08-15
AAPL250815C00320000,2025-02-10 20:31:16+00:00,320.0,0.4,0.0,0.0,0.0,0.0,12.0,418,0.12500875,False,REGULAR,USD,2025-08-15
AAPL250815C00325000,2025-02-07 20:21:09+00:00,325.0,0.42,0.0,0.0,0.0,0.0,2.0,131,0.12500875,False,REGULAR,USD,2025-08-15
AAPL250815C00330000,2025-02-04 14:40:24+00:00,330.0,0.42,0.0,0.0,0.0,0.0,2.0,63,0.12500875,False,REGULAR,USD,2025-08-15
AAPL250815C00340000,2025-02-05 18:00:58+00:00,340.0,0.3,0.0,0.0,0.0,0.0,1.0,315,0.12500875,False,REGULAR,USD,2025-08-15
AAPL250815C00350000,2025-02-07 20:46:56+00:00,350.0,0.2,0.0,0.0,0.0,0.0,10.0,728,0.12500875,False,REGULAR,USD,2025-08-15
AAPL250815C00360000,2025-02-10 16:26:23+00:00,360.0,0.14,0.0,0.0,0.0,0.0,2.0,151,0.12500875,False,REGULAR,USD,2025-08-15
AAPL250815C00370000,2025-02-10 14:32:39+00:00,370.0,0.12,0.0,0.0,0.0,0.0,1.0,89,0.12500875,False,REGULAR,USD,2025-08-15
AAPL250815C00380000,2025-02-06 15:52:04+00:00,380.0,0.11,0.0,0.0,0.0,0.0,1.0,20,0.12500875,False,REGULAR,USD,2025-08-15
AAPL250815C00390000,2025-02-10 20:33:24+00:00,390.0,0.07,0.0,0.0,0.0,0.0,477.0,1513,0.12500875,False,REGULAR,USD,2025-08-15
AAPL250919C00005000,2025-02-06 17:18:28+00:00,5.0,226.4,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00020000,2025-02-07 15:53:20+00:00,20.0,210.25,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00035000,2024-12-10 16:02:20+00:00,35.0,211.84,195.45,196.55,0.0,0.0,1.0,1,1.6706559436035158,True,REGULAR,USD,2025-09-19
AAPL250919C00050000,2025-02-06 20:58:45+00:00,50.0,183.92,0.0,0.0,0.0,0.0,1100.0,1132,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00055000,2025-02-07 15:42:18+00:00,55.0,176.51,0.0,0.0,0.0,0.0,9.0,124,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00060000,2025-02-07 15:45:51+00:00,60.0,171.59,0.0,0.0,0.0,0.0,8.0,164,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00065000,2025-02-06 20:57:31+00:00,65.0,169.24,0.0,0.0,0.0,0.0,18.0,33,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00070000,2025-01-17 19:00:21+00:00,70.0,160.97,0.0,0.0,0.0,0.0,36.0,47,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00075000,2025-02-07 18:18:53+00:00,75.0,156.01,0.0,0.0,0.0,0.0,40.0,310,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00080000,2025-02-07 16:22:02+00:00,80.0,151.49,0.0,0.0,0.0,0.0,11.0,37,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00085000,2025-02-03 15:32:24+00:00,85.0,146.77,0.0,0.0,0.0,0.0,4.0,163,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00090000,2025-02-06 20:19:30+00:00,90.0,144.35,0.0,0.0,0.0,0.0,21.0,182,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00095000,2025-02-07 18:34:28+00:00,95.0,136.51,0.0,0.0,0.0,0.0,25.0,48,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00100000,2025-02-07 18:34:56+00:00,100.0,131.82,0.0,0.0,0.0,0.0,69.0,1042,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00105000,2025-02-07 15:53:20+00:00,105.0,127.8,0.0,0.0,0.0,0.0,1.0,38,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00110000,2025-02-06 20:56:31+00:00,110.0,126.25,0.0,0.0,0.0,0.0,3.0,623,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00115000,2025-02-04 14:47:26+00:00,115.0,115.86,0.0,0.0,0.0,0.0,1.0,30,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00120000,2025-01-31 17:09:10+00:00,120.0,122.49,0.0,0.0,0.0,0.0,1.0,713,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00125000,2025-02-03 18:35:44+00:00,125.0,105.95,0.0,0.0,0.0,0.0,1.0,20,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00130000,2024-12-20 14:41:56+00:00,130.0,122.81,103.85,104.8,0.0,0.0,2.0,68,0.6816438085937502,True,REGULAR,USD,2025-09-19
AAPL250919C00135000,2025-01-14 15:15:41+00:00,135.0,104.91,0.0,0.0,0.0,0.0,4.0,84,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00140000,2025-01-15 17:03:33+00:00,140.0,101.58,0.0,0.0,0.0,0.0,296.0,394,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00145000,2024-12-27 16:51:22+00:00,145.0,113.95,94.6,95.85,0.0,0.0,1.0,42,0.7382533499145507,True,REGULAR,USD,2025-09-19
AAPL250919C00150000,2025-01-31 14:30:31+00:00,150.0,101.5,0.0,0.0,0.0,0.0,1.0,3618,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00155000,2025-02-07 18:16:53+00:00,155.0,79.27,0.0,0.0,0.0,0.0,6.0,73,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00160000,2025-01-31 15:38:46+00:00,160.0,85.5,0.0,0.0,0.0,0.0,1.0,522,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00165000,2025-02-03 16:19:12+00:00,165.0,67.9,0.0,0.0,0.0,0.0,1.0,654,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00170000,2025-02-07 15:23:28+00:00,170.0,66.56,0.0,0.0,0.0,0.0,39.0,399,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00175000,2025-02-07 16:24:15+00:00,175.0,61.02,0.0,0.0,0.0,0.0,3.0,501,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00180000,2025-02-03 15:10:02+00:00,180.0,55.2,0.0,0.0,0.0,0.0,6.0,386,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00185000,2025-02-05 14:50:26+00:00,185.0,53.3,0.0,0.0,0.0,0.0,1.0,1546,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00190000,2025-02-10 16:24:05+00:00,190.0,47.84,0.0,0.0,0.0,0.0,6.0,683,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00195000,2025-02-10 19:46:40+00:00,195.0,43.0,0.0,0.0,0.0,0.0,6.0,893,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00200000,2025-02-10 20:51:53+00:00,200.0,38.46,0.0,0.0,0.0,0.0,9.0,2541,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00205000,2025-02-10 17:35:03+00:00,205.0,35.55,0.0,0.0,0.0,0.0,2.0,925,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00210000,2025-02-10 15:01:05+00:00,210.0,32.22,0.0,0.0,0.0,0.0,2.0,3414,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00215000,2025-02-10 16:35:28+00:00,215.0,28.79,0.0,0.0,0.0,0.0,4.0,2641,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
AAPL250919C00220000,2025-02-10 19:07:58+00:00,220.0,25.15,0.0,0.0,0.0,0.0,3.0,2719,1.0000000000000003e-05,True,REGULAR,USD,2025-09-19
